"Accident_ID","النوع","التاريخ","السرعة","ع.اصابات بسيطة","ع.اصابات بليغة","ع.اصابات الوفاه","ع.اصابات متوسطة","مسارب الطريق","سطح الطريق","جنسية المركبة","فئه الرخصه","نوع الطريق","الاضائة","الطقس","خصائص طريق","خطأ السائق","محافظه","فئة المركبة","تاريخ الحادث","عدد المركبات","عمرالسائق","جنس السائق"
"1527220","صدم","1/13/2017 3:35:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/13/2017 3:35:00 PM","3","44","ذكر"
"1527220","صدم","1/13/2017 3:35:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","عدم ترك السائق مسافة التتابع الامن","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/13/2017 3:35:00 PM","3","25","ذكر"
"1527395","صدم","11/1/2017 20:56","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","11/1/2017 20:56","2","25","ذكر"
"1527395","صدم","11/1/2017 20:56","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","نهار","صافي","مستقيم مستوي","تغير سائق المركبة المسرب بشكل مفاجئ","محافظة العاصمة عمان","سيارة ركوب صغيرة","11/1/2017 20:56","2","20","ذكر"
"1528575","صدم","1/14/2017 4:38:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","نقل مشترك","1/14/2017 4:38:00 PM","2","30","ذكر"
"1528575","صدم","1/14/2017 4:38:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة خامسة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/14/2017 4:38:00 PM","2","52","ذكر"
"1528624","صدم","1/14/2017 6:57:00 PM","50","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","ليل واضاءة غير كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/14/2017 6:57:00 PM","2","31","ذكر"
"1528624","صدم","1/14/2017 6:57:00 PM","50","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","ليل واضاءة غير كافية","صافي","مستقيم مستوي","مخالفات قواعد واولويات المرور","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/14/2017 6:57:00 PM","2","23","ذكر"
"1528743","صدم","1/15/2017 6:46:00 AM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/15/2017 6:46:00 AM","2","34","ذكر"
"1528743","صدم","1/15/2017 6:46:00 AM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","1/15/2017 6:46:00 AM","2","40","انثى"
